GitHubProject,NuGetPreview,Stars
"[neuecc/Utf8Json](https://www.github.com/neuecc/Utf8Json#readme)","[Preview](https://dev.nugettest.org/packages/loic.neuecc.Utf8Json?preview=1#show-readme-container)",2095
"[wesdoyle/design-patterns-explained-with-food](https://www.github.com/wesdoyle/design-patterns-explained-with-food#readme)","[Preview](https://dev.nugettest.org/packages/loic.wesdoyle.design-patterns-explained-with-food?preview=1#show-readme-container)",2090
"[dotnetcore/osharp](https://www.github.com/dotnetcore/osharp#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnetcore.osharp?preview=1#show-readme-container)",2024
"[xamarin/xamarin-macios](https://www.github.com/xamarin/xamarin-macios#readme)","[Preview](https://dev.nugettest.org/packages/loic.xamarin.xamarin-macios?preview=1#show-readme-container)",2022
"[microsoft/WindowsTemplateStudio](https://www.github.com/microsoft/WindowsTemplateStudio#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.WindowsTemplateStudio?preview=1#show-readme-container)",2015
"[GitTools/GitVersion](https://www.github.com/GitTools/GitVersion#readme)","[Preview](https://dev.nugettest.org/packages/loic.GitTools.GitVersion?preview=1#show-readme-container)",2013
"[PomeloFoundation/Pomelo.EntityFrameworkCore.MySql](https://www.github.com/PomeloFoundation/Pomelo.EntityFrameworkCore.MySql#readme)","[Preview](https://dev.nugettest.org/packages/loic.PomeloFoundation.Pomelo.EntityFrameworkCore.MySql?preview=1#show-readme-container)",1998
"[borisdj/EFCore.BulkExtensions](https://www.github.com/borisdj/EFCore.BulkExtensions#readme)","[Preview](https://dev.nugettest.org/packages/loic.borisdj.EFCore.BulkExtensions?preview=1#show-readme-container)",1995
"[SciSharp/TensorFlow.NET](https://www.github.com/SciSharp/TensorFlow.NET#readme)","[Preview](https://dev.nugettest.org/packages/loic.SciSharp.TensorFlow.NET?preview=1#show-readme-container)",1994
"[MichaCo/CacheManager](https://www.github.com/MichaCo/CacheManager#readme)","[Preview](https://dev.nugettest.org/packages/loic.MichaCo.CacheManager?preview=1#show-readme-container)",1993
"[openiddict/openiddict-core](https://www.github.com/openiddict/openiddict-core#readme)","[Preview](https://dev.nugettest.org/packages/loic.openiddict.openiddict-core?preview=1#show-readme-container)",1991
"[microsoft/GraphEngine](https://www.github.com/microsoft/GraphEngine#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.GraphEngine?preview=1#show-readme-container)",1976
"[xamarin/XamarinComponents](https://www.github.com/xamarin/XamarinComponents#readme)","[Preview](https://dev.nugettest.org/packages/loic.xamarin.XamarinComponents?preview=1#show-readme-container)",1963
"[dlemstra/Magick.NET](https://www.github.com/dlemstra/Magick.NET#readme)","[Preview](https://dev.nugettest.org/packages/loic.dlemstra.Magick.NET?preview=1#show-readme-container)",1904
"[DotNetAnalyzers/StyleCopAnalyzers](https://www.github.com/DotNetAnalyzers/StyleCopAnalyzers#readme)","[Preview](https://dev.nugettest.org/packages/loic.DotNetAnalyzers.StyleCopAnalyzers?preview=1#show-readme-container)",1903
"[UnityTech/UIWidgets](https://www.github.com/UnityTech/UIWidgets#readme)","[Preview](https://dev.nugettest.org/packages/loic.UnityTech.UIWidgets?preview=1#show-readme-container)",1877
"[NuGetPackageExplorer/NuGetPackageExplorer](https://www.github.com/NuGetPackageExplorer/NuGetPackageExplorer#readme)","[Preview](https://dev.nugettest.org/packages/loic.NuGetPackageExplorer.NuGetPackageExplorer?preview=1#show-readme-container)",1873
"[peachpiecompiler/peachpie](https://www.github.com/peachpiecompiler/peachpie#readme)","[Preview](https://dev.nugettest.org/packages/loic.peachpiecompiler.peachpie?preview=1#show-readme-container)",1863
"[CollaboratingPlatypus/PetaPoco](https://www.github.com/CollaboratingPlatypus/PetaPoco#readme)","[Preview](https://dev.nugettest.org/packages/loic.CollaboratingPlatypus.PetaPoco?preview=1#show-readme-container)",1826
"[TelegramBots/Telegram.Bot](https://www.github.com/TelegramBots/Telegram.Bot#readme)","[Preview](https://dev.nugettest.org/packages/loic.TelegramBots.Telegram.Bot?preview=1#show-readme-container)",1801
"[hirschmann/nbfc](https://www.github.com/hirschmann/nbfc#readme)","[Preview](https://dev.nugettest.org/packages/loic.hirschmann.nbfc?preview=1#show-readme-container)",1796
