HtmlElement,GitHubProject,NuGetPreview,Stars
img,"[dotnet/try](https://www.github.com/dotnet/try#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.try?preview=1#show-readme-container)",2166
img,"[ddevault/TrueCraft](https://www.github.com/ddevault/TrueCraft#readme)","[Preview](https://dev.nugettest.org/packages/loic.ddevault.TrueCraft?preview=1#show-readme-container)",2136
img,"[reactiveui/Akavache](https://www.github.com/reactiveui/Akavache#readme)","[Preview](https://dev.nugettest.org/packages/loic.reactiveui.Akavache?preview=1#show-readme-container)",2120
img,"[p-org/P](https://www.github.com/p-org/P#readme)","[Preview](https://dev.nugettest.org/packages/loic.p-org.P?preview=1#show-readme-container)",2114
img,"[linq2db/linq2db](https://www.github.com/linq2db/linq2db#readme)","[Preview](https://dev.nugettest.org/packages/loic.linq2db.linq2db?preview=1#show-readme-container)",2091
img,"[kevin-montrose/Jil](https://www.github.com/kevin-montrose/Jil#readme)","[Preview](https://dev.nugettest.org/packages/loic.kevin-montrose.Jil?preview=1#show-readme-container)",2068
img,"[IdentityServer/IdentityServer3](https://www.github.com/IdentityServer/IdentityServer3#readme)","[Preview](https://dev.nugettest.org/packages/loic.IdentityServer.IdentityServer3?preview=1#show-readme-container)",2040
img,"[xamarin/xamarin-macios](https://www.github.com/xamarin/xamarin-macios#readme)","[Preview](https://dev.nugettest.org/packages/loic.xamarin.xamarin-macios?preview=1#show-readme-container)",2022
img,"[sqlkata/querybuilder](https://www.github.com/sqlkata/querybuilder#readme)","[Preview](https://dev.nugettest.org/packages/loic.sqlkata.querybuilder?preview=1#show-readme-container)",1964
img,"[Megabit/Blazorise](https://www.github.com/Megabit/Blazorise#readme)","[Preview](https://dev.nugettest.org/packages/loic.Megabit.Blazorise?preview=1#show-readme-container)",1963
img,"[zzzprojects/html-agility-pack](https://www.github.com/zzzprojects/html-agility-pack#readme)","[Preview](https://dev.nugettest.org/packages/loic.zzzprojects.html-agility-pack?preview=1#show-readme-container)",1920
img,"[UnityTech/UIWidgets](https://www.github.com/UnityTech/UIWidgets#readme)","[Preview](https://dev.nugettest.org/packages/loic.UnityTech.UIWidgets?preview=1#show-readme-container)",1877
img,"[Siccity/xNode](https://www.github.com/Siccity/xNode#readme)","[Preview](https://dev.nugettest.org/packages/loic.Siccity.xNode?preview=1#show-readme-container)",1868
img,"[peachpiecompiler/peachpie](https://www.github.com/peachpiecompiler/peachpie#readme)","[Preview](https://dev.nugettest.org/packages/loic.peachpiecompiler.peachpie?preview=1#show-readme-container)",1863
img,"[eventflow/EventFlow](https://www.github.com/eventflow/EventFlow#readme)","[Preview](https://dev.nugettest.org/packages/loic.eventflow.EventFlow?preview=1#show-readme-container)",1860
img,"[actions/runner](https://www.github.com/actions/runner#readme)","[Preview](https://dev.nugettest.org/packages/loic.actions.runner?preview=1#show-readme-container)",1851
img,"[jamesmh/coravel](https://www.github.com/jamesmh/coravel#readme)","[Preview](https://dev.nugettest.org/packages/loic.jamesmh.coravel?preview=1#show-readme-container)",1830
img,"[CollaboratingPlatypus/PetaPoco](https://www.github.com/CollaboratingPlatypus/PetaPoco#readme)","[Preview](https://dev.nugettest.org/packages/loic.CollaboratingPlatypus.PetaPoco?preview=1#show-readme-container)",1826
img,"[cDima/Aerial](https://www.github.com/cDima/Aerial#readme)","[Preview](https://dev.nugettest.org/packages/loic.cDima.Aerial?preview=1#show-readme-container)",1809
img,"[tModLoader/tModLoader](https://www.github.com/tModLoader/tModLoader#readme)","[Preview](https://dev.nugettest.org/packages/loic.tModLoader.tModLoader?preview=1#show-readme-container)",1809
img,"[vietnam-devs/coolstore-microservices](https://www.github.com/vietnam-devs/coolstore-microservices#readme)","[Preview](https://dev.nugettest.org/packages/loic.vietnam-devs.coolstore-microservices?preview=1#show-readme-container)",1808
img,"[fluentribbon/Fluent.Ribbon](https://www.github.com/fluentribbon/Fluent.Ribbon#readme)","[Preview](https://dev.nugettest.org/packages/loic.fluentribbon.Fluent.Ribbon?preview=1#show-readme-container)",1794
img,"[hanmin0822/MisakaTranslator](https://www.github.com/hanmin0822/MisakaTranslator#readme)","[Preview](https://dev.nugettest.org/packages/loic.hanmin0822.MisakaTranslator?preview=1#show-readme-container)",1793
img,"[robinrodricks/FluentFTP](https://www.github.com/robinrodricks/FluentFTP#readme)","[Preview](https://dev.nugettest.org/packages/loic.robinrodricks.FluentFTP?preview=1#show-readme-container)",1790
img,"[zzzprojects/EntityFramework-Plus](https://www.github.com/zzzprojects/EntityFramework-Plus#readme)","[Preview](https://dev.nugettest.org/packages/loic.zzzprojects.EntityFramework-Plus?preview=1#show-readme-container)",1728
img,"[loic-sharma/BaGet](https://www.github.com/loic-sharma/BaGet#readme)","[Preview](https://dev.nugettest.org/packages/loic.loic-sharma.BaGet?preview=1#show-readme-container)",1724
img,"[Jessecar96/SteamDesktopAuthenticator](https://www.github.com/Jessecar96/SteamDesktopAuthenticator#readme)","[Preview](https://dev.nugettest.org/packages/loic.Jessecar96.SteamDesktopAuthenticator?preview=1#show-readme-container)",1687
img,"[Seneral/Node_Editor_Framework](https://www.github.com/Seneral/Node_Editor_Framework#readme)","[Preview](https://dev.nugettest.org/packages/loic.Seneral.Node_Editor_Framework?preview=1#show-readme-container)",1687
img,"[blazorhero/CleanArchitecture](https://www.github.com/blazorhero/CleanArchitecture#readme)","[Preview](https://dev.nugettest.org/packages/loic.blazorhero.CleanArchitecture?preview=1#show-readme-container)",1679
img,"[dotnet/spark](https://www.github.com/dotnet/spark#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.spark?preview=1#show-readme-container)",1668
img,"[builtbybel/privatezilla](https://www.github.com/builtbybel/privatezilla#readme)","[Preview](https://dev.nugettest.org/packages/loic.builtbybel.privatezilla?preview=1#show-readme-container)",1656
img,"[Pryaxis/TShock](https://www.github.com/Pryaxis/TShock#readme)","[Preview](https://dev.nugettest.org/packages/loic.Pryaxis.TShock?preview=1#show-readme-container)",1628
img,"[odedshimon/BruteShark](https://www.github.com/odedshimon/BruteShark#readme)","[Preview](https://dev.nugettest.org/packages/loic.odedshimon.BruteShark?preview=1#show-readme-container)",1628
img,"[ElevenPaths/FOCA](https://www.github.com/ElevenPaths/FOCA#readme)","[Preview](https://dev.nugettest.org/packages/loic.ElevenPaths.FOCA?preview=1#show-readme-container)",1615
img,"[xamarin/xamarin-android](https://www.github.com/xamarin/xamarin-android#readme)","[Preview](https://dev.nugettest.org/packages/loic.xamarin.xamarin-android?preview=1#show-readme-container)",1601
img,"[antonpup/Aurora](https://www.github.com/antonpup/Aurora#readme)","[Preview](https://dev.nugettest.org/packages/loic.antonpup.Aurora?preview=1#show-readme-container)",1598
img,"[UnigramDev/Unigram](https://www.github.com/UnigramDev/Unigram#readme)","[Preview](https://dev.nugettest.org/packages/loic.UnigramDev.Unigram?preview=1#show-readme-container)",1595
img,"[Davidobot/BetterJoy](https://www.github.com/Davidobot/BetterJoy#readme)","[Preview](https://dev.nugettest.org/packages/loic.Davidobot.BetterJoy?preview=1#show-readme-container)",1594
img,"[punker76/gong-wpf-dragdrop](https://www.github.com/punker76/gong-wpf-dragdrop#readme)","[Preview](https://dev.nugettest.org/packages/loic.punker76.gong-wpf-dragdrop?preview=1#show-readme-container)",1557
img,"[thepirat000/Audit.NET](https://www.github.com/thepirat000/Audit.NET#readme)","[Preview](https://dev.nugettest.org/packages/loic.thepirat000.Audit.NET?preview=1#show-readme-container)",1529
img,"[scriban/scriban](https://www.github.com/scriban/scriban#readme)","[Preview](https://dev.nugettest.org/packages/loic.scriban.scriban?preview=1#show-readme-container)",1528
img,"[nxrighthere/UnrealCLR](https://www.github.com/nxrighthere/UnrealCLR#readme)","[Preview](https://dev.nugettest.org/packages/loic.nxrighthere.UnrealCLR?preview=1#show-readme-container)",1516
img,"[tmsmith/Dapper-Extensions](https://www.github.com/tmsmith/Dapper-Extensions#readme)","[Preview](https://dev.nugettest.org/packages/loic.tmsmith.Dapper-Extensions?preview=1#show-readme-container)",1501
img,"[ONLYOFFICE/CommunityServer](https://www.github.com/ONLYOFFICE/CommunityServer#readme)","[Preview](https://dev.nugettest.org/packages/loic.ONLYOFFICE.CommunityServer?preview=1#show-readme-container)",1471
img,"[xasset/xasset](https://www.github.com/xasset/xasset#readme)","[Preview](https://dev.nugettest.org/packages/loic.xasset.xasset?preview=1#show-readme-container)",1459
img,"[lgsvl/simulator](https://www.github.com/lgsvl/simulator#readme)","[Preview](https://dev.nugettest.org/packages/loic.lgsvl.simulator?preview=1#show-readme-container)",1437
img,"[codecadwallader/codemaid](https://www.github.com/codecadwallader/codemaid#readme)","[Preview](https://dev.nugettest.org/packages/loic.codecadwallader.codemaid?preview=1#show-readme-container)",1425
img,"[ArcadeRenegade/SidebarDiagnostics](https://www.github.com/ArcadeRenegade/SidebarDiagnostics#readme)","[Preview](https://dev.nugettest.org/packages/loic.ArcadeRenegade.SidebarDiagnostics?preview=1#show-readme-container)",1424
img,"[BornToBeRoot/NETworkManager](https://www.github.com/BornToBeRoot/NETworkManager#readme)","[Preview](https://dev.nugettest.org/packages/loic.BornToBeRoot.NETworkManager?preview=1#show-readme-container)",1421
img,"[asc-lab/dotnetcore-microservices-poc](https://www.github.com/asc-lab/dotnetcore-microservices-poc#readme)","[Preview](https://dev.nugettest.org/packages/loic.asc-lab.dotnetcore-microservices-poc?preview=1#show-readme-container)",1414
img,"[ivaylokenov/MyTested.AspNetCore.Mvc](https://www.github.com/ivaylokenov/MyTested.AspNetCore.Mvc#readme)","[Preview](https://dev.nugettest.org/packages/loic.ivaylokenov.MyTested.AspNetCore.Mvc?preview=1#show-readme-container)",1411
